VideoId1, VideoId2, Ground_Truth_Score
1493,2629,["0"]
612014,155955,["0"]
612014,151573,["0"]
614834,621487,["0"]
155988,625540,["0"]
155988,638618,["0"]
151225,15581,["0"]
1493,2718,["0"]
614834,71534,["0"]
614834,155955,["1"]
1493,2221,["0"]
612014,983,["0"]
1493,2137,["0"]
614834,631313,["0"]
1493,2661,["0"]
1493,630173,["0"]
1493,624152,["0"]
151225,617879,["0"]
612014,631201,["0"]
1493,631201,["0"]
1493,160161,["0"]
614834,625660,["1"]
1493,1251,["0"]
612014,2137,["0"]
614834,3155,["0"]
151225,148241,["0"]
612014,3223,["0"]
614834,611962,["0"]
1493,151573,["0"]
1493,1095,["0"]
155988,615242,["0"]
151225,630200,["0"]
612014,618242,["0"]
155988,151339,["1"]
155988,1479,["0"]
614834,63466,["0"]
614834,626138,["1"]
151225,625660,["0"]
614834,1251,["1"]
1493,1479,["0"]
614834,618242,["0"]
155988,617854,["0"]
151225,3223,["0"]
1493,626138,["0"]
612014,173432,["0"]
1493,148241,["0"]
151225,639267,["0"]
614834,28984,["1"]
1493,15581,["0"]
155988,615308,["0"]
155988,630173,["0"]
155988,621579,["0"]
151225,631313,["0"]
612014,160161,["0"]
1493,612245,["0"]
614834,637984,["1"]
612014,615191,["0"]
151225,1293,["0"]
612014,638618,["0"]
151225,612245,["0"]
151225,631671,["0"]
151225,615363,["0"]
151225,2235,["0"]
1493,615242,["0"]
155988,62169,["0"]
612014,624109,["0"]
151225,630283,["0"]
151225,626138,["0"]
155988,3155,["0"]
151225,2277,["0"]
155988,631446,["0"]
1493,625850,["0"]
614834,630200,["1"]
612014,2221,["0"]
151225,173432,["0"]
614834,631446,["0"]
614834,1885,["0"]
612014,613521,["0"]
151225,1815,["0"]
614834,615437,["0"]
614834,627986,["0"]
1493,630200,["0"]
155988,625821,["0"]
1493,615490,["0"]
1493,615363,["0"]
155988,1815,["0"]
614834,631469,["0"]
612014,15581,["0"]
155988,625793,["0"]
151225,631201,["0"]
614834,616659,["0"]
155988,2235,["0"]
612014,625850,["0"]
614834,2221,["0"]
155988,2221,["0"]
151225,151573,["0"]
151225,613521,["0"]
1493,627986,["0"]
1493,28984,["0"]
612014,1871,["0"]
614834,638788,["0"]
1493,621579,["0"]
151225,624436,["0"]
612014,631313,["0"]
614834,624109,["1"]
612014,624436,["0"]
614834,2661,["0"]
1493,611962,["0"]
155988,63466,["0"]
612014,2277,["0"]
151225,625821,["0"]
155988,631313,["0"]
155988,630283,["0"]
612014,637984,["0"]
151225,617854,["0"]
155988,625850,["0"]
155988,640409,["0"]
612014,631469,["0"]
612014,640371,["0"]
614834,640371,["0"]
612014,631446,["0"]
151225,640409,["0"]
151225,615191,["0"]
612014,615308,["0"]
612014,612245,["0"]
614834,621579,["0"]
612014,61831,["0"]
614834,160161,["1"]
151225,2629,["0"]
155988,624109,["0"]
151225,630540,["0"]
155988,626138,["0"]
1493,624062,["0"]
612014,1251,["0"]
612014,1759,["0"]
614834,151573,["0"]
614834,624152,["0"]
612014,2235,["0"]
155988,616659,["0"]
614834,612245,["0"]
155988,617879,["0"]
155988,640371,["0"]
1493,621487,["0"]
1493,617879,["0"]
612014,624152,["0"]
612014,1479,["0"]
155988,1871,["0"]
155988,151573,["0"]
155988,1095,["0"]
614834,631177,["0"]
151225,615490,["0"]
1493,631313,["0"]
151225,625850,["0"]
151225,1871,["0"]
612014,2661,["0"]
151225,62169,["0"]
1493,71534,["0"]
1493,630540,["0"]
612014,638788,["0"]
155988,638788,["0"]
612014,621487,["0"]
612014,71534,["0"]
612014,2629,["0"]
155988,61831,["0"]
614834,617879,["0"]
151225,1759,["0"]
151225,624152,["0"]
151225,2221,["0"]
612014,2718,["0"]
1493,625821,["0"]
614834,639267,["0"]
614834,615242,["0"]
155988,983,["0"]
155988,620654,["0"]
155988,28984,["0"]
1493,625540,["0"]
612014,151339,["0"]
151225,630173,["0"]
612014,3155,["0"]
151225,3155,["0"]
614834,624310,["0"]
155988,2661,["0"]
155988,15581,["0"]
614834,624062,["1"]
155988,2137,["0"]
612014,630173,["0"]
1493,615191,["0"]
155988,630200,["0"]
155988,631671,["0"]
1493,983,["0"]
612014,621579,["0"]
155988,624310,["0"]
155988,624436,["0"]
614834,151856,["0"]
155988,615490,["0"]
614834,2137,["0"]
155988,630540,["0"]
614834,630540,["0"]
1493,1871,["0"]
155988,1759,["0"]
155988,2718,["0"]
1493,613521,["0"]
612014,1885,["0"]
612014,624062,["0"]
614834,2718,["0"]
151225,625540,["0"]
1493,151339,["0"]
1493,617854,["0"]
1493,624436,["0"]
614834,613521,["0"]
151225,1479,["0"]
151225,2137,["0"]
614834,61831,["0"]
612014,620654,["0"]
612014,615363,["0"]
614834,624436,["1"]
614834,3223,["0"]
1493,631671,["0"]
155988,71534,["0"]
614834,630173,["1"]
151225,61831,["0"]
155988,624152,["0"]
1493,640371,["0"]
155988,612245,["0"]
151225,615437,["0"]
151225,624310,["0"]
151225,631469,["0"]
614834,15581,["0"]
612014,631671,["0"]
151225,627986,["0"]
151225,616659,["0"]
1493,631469,["0"]
612014,615437,["0"]
155988,627986,["0"]
1493,620654,["0"]
1493,1815,["0"]
155988,613521,["0"]
614834,2629,["0"]
1493,640409,["0"]
155988,1251,["0"]
155988,151856,["1"]
155988,615437,["0"]
155988,631201,["0"]
614834,62169,["1"]
612014,624310,["0"]
155988,615363,["0"]
151225,638618,["0"]
151225,1251,["0"]
155988,173432,["0"]
612014,615490,["0"]
614834,1293,["0"]
1493,2277,["0"]
614834,630283,["0"]
155988,148241,["0"]
614834,625850,["1"]
151225,1885,["0"]
612014,625821,["0"]
151225,631446,["0"]
614834,615308,["0"]
155988,621487,["0"]
1493,639267,["0"]
614834,148241,["1"]
1493,155955,["0"]
612014,630540,["0"]
1493,624109,["0"]
151225,160161,["0"]
612014,631177,["0"]
612014,615242,["0"]
612014,1095,["0"]
151225,637984,["0"]
612014,625660,["0"]
612014,151856,["0"]
614834,1815,["0"]
155988,618242,["0"]
1493,151856,["0"]
612014,630200,["0"]
151225,625793,["0"]
1493,616659,["0"]
612014,617879,["0"]
1493,62169,["0"]
155988,615191,["0"]
614834,620654,["0"]
611962,1857,["0"]
639267,159704,["0"]
1885,2291,["0"]
1885,1451,["0"]
1885,618084,["0"]
28984,43555,["0"]
639267,63435,["0"]
639267,2291,["0"]
28984,638813,["0"]
15581,155988,["0"]
28984,616483,["0"]
611962,617520,["0"]
28984,21994,["0"]
15581,160133,["0"]
15581,3269,["0"]
28984,6701,["0"]
28984,160133,["0"]
611962,151639,["0"]
639267,10692,["0"]
15581,621251,["0"]
28984,159704,["0"]
15581,630726,["0"]
639267,128749,["0"]
611962,1493,["0"]
28984,3269,["0"]
28984,630774,["0"]
28984,633428,["0"]
639267,3269,["0"]
611962,624385,["0"]
28984,613558,["1"]
639267,615283,["0"]
639267,149961,["0"]
611962,43555,["0"]
639267,21994,["0"]
15581,2389,["0"]
611962,3269,["0"]
1885,630741,["0"]
15581,149961,["0"]
611962,630774,["0"]
15581,21994,["0"]
15581,151252,["0"]
15581,616531,["0"]
1885,624224,["0"]
639267,151225,["0"]
28984,149961,["0"]
28984,1857,["0"]
28984,630726,["0"]
639267,616277,["0"]
611962,630741,["0"]
1885,612014,["0"]
1885,155978,["0"]
15581,2403,["0"]
611962,615283,["0"]
28984,614858,["0"]
1885,1801,["0"]
611962,626032,["0"]
639267,151312,["0"]
611962,618084,["0"]
611962,2389,["0"]
639267,2347,["0"]
28984,3208,["0"]
611962,151312,["0"]
1885,14588,["0"]
28984,624224,["0"]
15581,614858,["0"]
1885,151312,["0"]
15581,6701,["0"]
639267,621251,["0"]
1885,638813,["0"]
639267,614858,["0"]
1885,43555,["0"]
15581,630774,["0"]
15581,1801,["0"]
28984,1321,["0"]
611962,625875,["0"]
1885,616483,["0"]
1885,2263,["0"]
639267,616483,["0"]
15581,624385,["0"]
28984,10692,["0"]
15581,616483,["0"]
611962,151031,["0"]
15581,151278,["0"]
611962,2291,["0"]
1885,155589,["0"]
15581,638813,["0"]
639267,43555,["0"]
611962,164993,["0"]
1885,63435,["0"]
15581,151031,["0"]
15581,633428,["0"]
611962,155978,["0"]
1885,624385,["0"]
28984,625875,["0"]
639267,14588,["0"]
15581,621403,["0"]
639267,630726,["0"]
28984,1451,["0"]
28984,164993,["0"]
611962,151252,["0"]
1885,151639,["0"]
1885,159704,["0"]
28984,621403,["0"]
1885,616277,["0"]
1885,1493,["0"]
15581,159704,["0"]
611962,1801,["0"]
15581,615283,["0"]
611962,615588,["1"]
15581,43555,["0"]
1885,621251,["0"]
611962,614858,["0"]
1885,630726,["1"]
15581,151225,["0"]
1885,1857,["0"]
1885,151278,["0"]
611962,2583,["0"]
28984,155988,["0"]
15581,164993,["0"]
1885,128749,["0"]
639267,164993,["0"]
28984,617520,["0"]
611962,10692,["0"]
611962,159704,["0"]
611962,151225,["0"]
1885,3269,["0"]
639267,2207,["0"]
611962,621403,["0"]
611962,620994,["0"]
28984,2263,["1"]
28984,612014,["0"]
15581,617520,["0"]
1885,1321,["0"]
15581,2263,["0"]
639267,626032,["0"]
15581,613558,["0"]
28984,2389,["0"]
28984,2207,["0"]
611962,155988,["0"]
15581,1493,["0"]
15581,626032,["0"]
639267,621403,["0"]
15581,616842,["0"]
15581,1857,["0"]
611962,2403,["0"]
15581,2291,["0"]
15581,155978,["0"]
1885,151225,["0"]
611962,614834,["0"]
1885,155988,["0"]
1885,149961,["0"]
1885,160133,["0"]
15581,624224,["0"]
611962,128749,[null]
639267,612014,["0"]
15581,620994,["0"]
639267,613558,["0"]
1885,621403,["0"]
639267,2583,["0"]
639267,151252,["0"]
639267,155589,["0"]
15581,615588,["0"]
611962,151278,["0"]
639267,624385,["0"]
15581,2207,["0"]
639267,151278,["0"]
15581,3208,["0"]
611962,1321,["0"]
639267,2403,["0"]
1885,620994,["0"]
15581,625875,["0"]
28984,2583,["0"]
611962,21994,["0"]
639267,1801,["0"]
611962,63435,["0"]
639267,616842,["0"]
639267,630741,["0"]
639267,638813,["0"]
28984,2403,["0"]
639267,625875,["0"]
1885,10692,["0"]
1885,21994,["0"]
1885,626032,["0"]
639267,2263,["0"]
639267,151031,["0"]
15581,14588,["1"]
639267,633428,["0"]
1885,2403,["0"]
639267,1493,["0"]
28984,630703,["0"]
28984,155589,["0"]
28984,151312,["1"]
639267,1405,["0"]
28984,155978,["0"]
639267,3208,["0"]
28984,616842,["0"]
15581,155589,["0"]
1885,633428,["0"]
15581,10692,["0"]
611962,14588,["0"]
28984,128749,["0"]
639267,624224,["0"]
639267,617520,["0"]
611962,633428,["0"]
1885,615588,["0"]
1885,616842,["0"]
639267,1451,["0"]
639267,1857,["0"]
1885,614834,["0"]
15581,151312,["0"]
28984,1405,["1"]
28984,615283,["0"]
611962,1451,["0"]
28984,1493,["0"]
611962,2263,["0"]
1885,2347,["0"]
639267,155978,["0"]
28984,618084,["0"]
639267,160133,["0"]
611962,638813,["0"]
28984,621251,["0"]
28984,616531,["0"]
28984,151252,["0"]
28984,151031,["0"]
15581,63435,["0"]
28984,616277,["0"]
611962,616842,["0"]
15581,2583,["0"]
28984,620994,["0"]
28984,2347,["0"]
639267,615588,["0"]
15581,2347,["0"]
28984,614834,["1"]
611962,3208,["0"]
28984,630741,["0"]
1885,614858,["0"]
1885,1405,["0"]
1885,615283,["0"]
28984,151225,["0"]
28984,1801,["0"]
611962,149961,["0"]
1885,630774,["1"]
28984,624385,["0"]
15581,1321,["0"]
15581,1405,["0"]
28984,63435,["0"]
611962,630726,["0"]
15581,630703,["0"]
639267,6701,["0"]
1885,617520,["0"]
28984,615588,["0"]
1885,151252,["0"]
611962,616277,["0"]
611962,630703,["0"]
28984,151639,["1"]
1885,151031,["0"]
611962,621251,["0"]
639267,1321,["0"]
1885,3208,["0"]
1885,164993,["0"]
639267,151639,["0"]
1885,2389,["1"]
15581,630741,["1"]
611962,155589,["0"]
639267,630774,["0"]
1885,630703,["0"]
639267,155988,["0"]
639267,620994,["0"]
1885,616531,["0"]
639267,2389,["0"]
15581,616277,["0"]
611962,1405,["0"]
28984,14588,["0"]
611962,160133,["0"]
611962,6701,["0"]
15581,1451,["0"]
1885,6701,["0"]
611962,616483,["0"]
15581,618084,["0"]
639267,614834,["0"]
15581,614834,["0"]
1885,625875,["0"]
1885,2207,["0"]
1885,613558,["0"]
639267,630703,["0"]
1885,2583,["0"]
611962,612014,["0"]
611962,613558,["0"]
639267,616531,["0"]
15581,128749,["0"]
611962,2347,["0"]
639267,618084,["0"]
611962,616531,["0"]
28984,626032,["0"]
28984,2291,["0"]
611962,624224,["0"]
15581,151639,["0"]
611962,2207,["0"]
15581,612014,["0"]
28984,151278,["0"]
613631,613521,["1"]
631648,618242,["0"]
155841,631469,["0"]
613631,625660,["1"]
155841,631177,["0"]
155841,155955,["1"]
155841,624152,["0"]
630457,15581,["0"]
617569,621487,["1"]
617569,631446,["0"]
155841,2137,["0"]
630457,615363,["0"]
630457,625850,["0"]
617569,625821,["0"]
630457,615242,["0"]
155841,2661,["0"]
630457,617854,["0"]
617569,631177,["0"]
617569,624152,["0"]
631648,631469,["0"]
155841,2277,["1"]
155841,612245,["0"]
630457,631177,["0"]
631648,1095,["0"]
630457,639267,["0"]
613631,625821,["0"]
631648,630283,["0"]
155841,630200,["1"]
631648,617879,["0"]
630457,638788,["0"]
617569,71534,["0"]
630457,1095,["0"]
630457,1479,["0"]
630457,151573,["0"]
617569,615490,["0"]
613631,624109,["1"]
630457,630173,["0"]
613631,640409,["0"]
155841,621487,["1"]
613631,155955,["1"]
613631,160161,["1"]
631648,626138,["0"]
613631,3155,["0"]
631648,616659,["0"]
613631,625540,["0"]
617569,624436,["0"]
155841,625793,["1"]
617569,1885,["0"]
155841,1479,["1"]
617569,155955,["0"]
631648,631313,["0"]
617569,151339,["0"]
155841,625850,["1"]
155841,624062,["1"]
630457,612245,["0"]
617569,1871,["0"]
613631,1479,["1"]
155841,983,["0"]
631648,631201,["0"]
630457,615437,["0"]
155841,620654,["0"]
617569,148241,["0"]
631648,1885,["0"]
617569,28984,["0"]
613631,631313,["1"]
613631,615363,["1"]
617569,625793,["1"]
155841,1251,["1"]
613631,640371,["0"]
613631,617879,["0"]
631648,2629,["0"]
613631,630540,["0"]
155841,151339,["0"]
155841,630173,["1"]
155841,1293,["0"]
631648,638618,["0"]
155841,615363,["1"]
631648,1759,["0"]
630457,624062,["0"]
631648,615191,["0"]
617569,2137,["0"]
631648,173432,["0"]
155841,615490,["0"]
613631,2661,["0"]
613631,62169,["1"]
631648,1251,["0"]
630457,173432,["0"]
631648,615437,["0"]
613631,63466,["0"]
613631,1759,["1"]
630457,625793,["0"]
617569,1759,["0"]
155841,611962,["0"]
631648,615490,["0"]
630457,630540,["1"]
617569,625850,["1"]
613631,151339,["0"]
630457,155955,["0"]
155841,638788,["0"]
631648,630173,["0"]
613631,618242,["0"]
613631,617854,["0"]
630457,640371,["0"]
631648,615242,["0"]
617569,1095,["0"]
631648,639267,["0"]
155841,160161,["1"]
613631,625850,["1"]
155841,148241,["1"]
617569,3223,["0"]
631648,637984,["0"]
631648,1815,["0"]
155841,630540,["0"]
613631,615490,["0"]
630457,160161,["0"]
613631,1885,["0"]
617569,2718,["0"]
617569,61831,["0"]
617569,624310,["0"]
617569,1251,["0"]
631648,61831,["0"]
613631,2235,["0"]
155841,631201,["0"]
613631,1293,["0"]
155841,2221,["0"]
631648,624152,["0"]
617569,160161,["0"]
613631,624152,["0"]
631648,611962,["0"]
617569,615437,["0"]
613631,15581,["0"]
631648,631446,["0"]
155841,631671,["0"]
617569,625660,["0"]
617569,615191,["0"]
617569,616659,["0"]
631648,638788,["0"]
155841,15581,["0"]
630457,63466,["0"]
631648,630200,["0"]
617569,612245,["0"]
630457,2661,["0"]
613631,637984,["0"]
630457,615308,["0"]
613631,1871,["0"]
630457,637984,["0"]
613631,1095,["0"]
631648,624109,["0"]
631648,15581,["0"]
155841,627986,["0"]
155841,639267,["0"]
630457,630200,["0"]
155841,613521,["0"]
155841,61831,["0"]
613631,631446,["0"]
630457,631313,["0"]
631648,640371,["0"]
630457,621579,["0"]
155841,2235,["0"]
155841,640371,["0"]
613631,2137,["0"]
613631,630200,["1"]
155841,626138,["1"]
617569,1293,["0"]
617569,615308,["0"]
155841,625660,["1"]
630457,616659,["0"]
617569,617879,["0"]
155841,1759,["1"]
631648,3155,["0"]
613631,631469,["0"]
155841,71534,["0"]
155841,1871,["0"]
617569,2661,["0"]
617569,621579,["0"]
631648,624436,["0"]
631648,62169,["0"]
617569,3155,["0"]
155841,615242,["0"]
631648,625793,["0"]
613631,1251,["1"]
613631,624062,["1"]
617569,2629,["0"]
630457,625540,["0"]
613631,615191,["0"]
613631,151856,["0"]
630457,61831,["0"]
155841,621579,["1"]
631648,2661,["0"]
630457,625821,["0"]
617569,983,["0"]
631648,2718,["0"]
617569,639267,["0"]
155841,3223,["0"]
631648,160161,["0"]
155841,618242,["0"]
155841,173432,["0"]
630457,2718,["0"]
155841,1885,["0"]
630457,638618,["0"]
613631,630283,["0"]
631648,625821,["0"]
631648,615363,["0"]
617569,15581,["0"]
631648,2221,["0"]
631648,1293,["0"]
617569,151573,["0"]
155841,631446,["0"]
631648,151573,["0"]
631648,627986,["0"]
631648,625660,["0"]
155841,2629,["0"]
630457,151339,["0"]
617569,627986,["0"]
617569,624109,["0"]
155841,615437,["0"]
155841,630283,["0"]
155841,624109,["1"]
631648,3223,["0"]
613631,2718,["0"]
613631,611962,["0"]
630457,640409,["0"]
617569,151856,["0"]
631648,624062,["0"]
613631,631177,["0"]
631648,640409,["0"]
613631,616659,["0"]
630457,71534,["0"]
631648,624310,["0"]
631648,1479,["0"]
630457,2137,["0"]
613631,615437,["0"]
155841,638618,["0"]
631648,2235,["0"]
155841,151573,["0"]
630457,2235,["0"]
613631,630173,["1"]
631648,71534,["1"]
155841,615191,["0"]
155841,2718,["0"]
617569,625540,["0"]
630457,1251,["0"]
630457,1871,["1"]
617569,611962,["0"]
631648,148241,["0"]
630457,1293,["0"]
155841,625540,["0"]
155841,151856,["0"]
630457,624152,["0"]
613631,620654,["0"]
631648,1871,["0"]
630457,620654,["0"]
613631,71534,["0"]
630457,1815,["0"]
631648,631177,["0"]
613631,173432,["0"]
155841,1815,["0"]
617569,63466,["0"]
613631,2277,["1"]
155841,3155,["0"]
630457,615490,["0"]
155841,625821,["0"]
630457,613521,["0"]
613631,2629,["0"]
630457,151856,["0"]
613631,3223,["0"]
630457,615191,["0"]
155841,624436,["1"]
630457,1759,["0"]
630457,631201,["0"]
617569,630283,["0"]
613631,983,["0"]
617569,640409,["0"]
613631,1815,["0"]
155841,631313,["0"]
631648,617854,["0"]
617569,1479,["0"]
630457,625660,["0"]
613631,621487,["1"]
617569,624062,["0"]
631648,612245,["0"]
631648,621487,["0"]
630457,624436,["0"]
155841,637984,["0"]
631648,613521,["0"]
155841,616659,["0"]
613631,61831,["0"]
613631,639267,["0"]
617569,1815,["0"]
630457,148241,["0"]
617569,617854,["1"]
631648,631671,["0"]
617569,631671,["0"]
617569,615363,["0"]
631648,151339,["0"]
630457,627986,["0"]
630457,2221,["0"]
630457,62169,["0"]
155841,615308,["0"]
155841,624310,["0"]
631648,625850,["0"]
617569,640371,["0"]
630457,983,["0"]
630457,1885,["0"]
631648,155955,["0"]
617569,637984,["0"]
631648,621579,["0"]
155841,640409,["0"]
631648,151856,["0"]
155841,1095,["0"]
155841,617879,["0"]
613631,624436,["1"]
631648,28984,["0"]
631648,983,["0"]
613631,631671,["0"]
630457,3223,["0"]
617569,638788,["0"]
155841,63466,["0"]
617569,173432,["0"]
613631,626138,["1"]
630457,621487,["0"]
617569,2277,["0"]
631648,2137,["0"]
617569,631313,["0"]
155841,617854,["0"]
613631,627986,["0"]
630457,611962,["0"]
630457,618242,["0"]
613631,28984,["1"]
613631,615242,["0"]
155841,62169,["1"]
630457,630283,["0"]
630457,624109,["0"]
631648,620654,["0"]
631648,2277,["0"]
630457,28984,["0"]
630457,2629,["0"]
630457,624310,["0"]
617569,631201,["0"]
630457,631469,["0"]
617569,630540,["0"]
613631,638788,["0"]
613631,631201,["0"]
617569,613521,["0"]
631648,63466,["0"]
617569,2221,["0"]
613631,624310,["0"]
617569,615242,["0"]
617569,620654,["0"]
630457,2277,["0"]
617569,62169,["0"]
613631,638618,["0"]
630457,631671,["0"]
630457,3155,["0"]
630457,631446,["0"]
613631,615308,["0"]
613631,2221,["0"]
617569,626138,["0"]
630457,617879,["0"]
613631,621579,["1"]
617569,618242,["0"]
613631,148241,["1"]
613631,625793,["1"]
631648,615308,["0"]
617569,630200,["0"]
617569,2235,["0"]
631648,625540,["0"]
630457,626138,["0"]
613631,612245,["0"]
155841,28984,["1"]
613631,151573,["0"]
617569,631469,["0"]
617569,630173,["0"]
617569,638618,["0"]
631648,630540,["0"]
